Title,Rating,Director,Year
Frank Darabont,9.7,Unknown,1994
Farewell My Concubine,9.6,Unknown,1993
Robert Zemeckis,9.5,Robert Zemeckis,1994
James Cameron,9.5,Unknown,1997
Hayao Miyazaki,9.4,Hayao Miyazaki,2001
Life Is Beautiful,9.5,Unknown,1997
Luc Besson,9.4,Unknown,1994
Christopher Nolan,9.4,Unknown,2014
Christopher Nolan,9.4,Unknown,2010
Peter Weir,9.4,Peter Weir,1998
Steven Spielberg,9.5,Unknown,1993
Lasse,9.4,Lasse Hallstr,2009
Giuseppe Tornatore,9.3,Unknown,1998
Rajkumar Hirani,9.2,Unknown,2009
Christophe Barratier,9.3,Christophe Barratier,2004
Andrew Stanton,9.3,Unknown,2008
Byron Howard,9.2,Unknown,2016
Infernal Affairs,9.3,,2002
Billy Wilder,9.6,Billy Wilder,1957
Jeffrey Lau,9.2,Jeffrey Lau,1995
Dong-hyuk Hwang,9.3,Unknown,2011
Mario Puzo's The Godfather,9.3,Unknown,1972
Olivier Nakache,9.3,Unknown,2011
Lee Unkrich,9.1,Unknown,2017
Gabriele Muccino,9.2,Unknown,2006
L'ultimo imperatore,9.3,Unknown,1987
Hayao Miyazaki,9.2,Hayao Miyazaki,1988
Chris Columbus,9.2,Chris Columbus,2001
Rob Reiner,9.1,Unknown,2010
Lifetimes,9.3,Unknown,1994
Christopher Nolan,9.2,Unknown,2008
Peter Jackson,9.3,Unknown,2003
Muye Wen,9.0,Unknown,2018
Victor Fleming,9.3,Unknown,1939
Pete Docter,9.1,Unknown,2009
Jun-ik Lee,9.3,Unknown,2013
Hayao Miyazaki,9.1,Hayao Miyazaki,2004
Wen Jiang,9.0,Unknown,2010
Sidney Lumet,9.4,Unknown,1957
Alain Gsponer,9.3,Unknown,2015
Nadine Labaki,9.1,Unknown,2018
Steven Spielberg,9.1,Unknown,2002
Hayao Miyazaki,9.2,Hayao Miyazaki,1986
Nitesh Tiwari,9.0,Nitesh Tiwari,2016
Devils on the Doorstep,9.3,Unknown,2000
Ang Lee,9.1,Unknown,2012
Roman Polanski,9.3,Unknown,2002
Peter Jackson,9.2,Unknown,2002
Jeffrey Lau,9.0,Jeffrey Lau,1995
Peter Weir,9.2,Peter Weir,1989
Martin Brest,9.1,Unknown,1992
Peter Farrelly,8.9,Peter Farrelly,2018
The Monkey King,9.4,Unknown,1961
William Wyler,9.1,William Wyler,1953
Andy Wachowski,9.1,Unknown,1999
Peter Jackson,9.1,Unknown,2001
Francis Ford Coppola,9.3,Unknown,1974
Giuseppe Tornatore,9.2,Unknown,1988
Roger Allers,9.1,Unknown,1994
Woo-seok Yang,9.2,Unknown,2013
Eat Drink Man Woman,9.2,Unknown,1994
David Fincher,9.0,Unknown,1999
David Fincher,9.0,Unknown,2008
Ron Howard,9.1,Unknown,2001
Mark Herman,9.2,Unknown,2008
"Florian Henckel von Donnersmarck  &n...
                            2006",9.2,Unknown,2006
When I Close My Eyes,8.9,Unknown,1995
Guy Ritchie,9.1,Guy Ritchie,1998
Robert Wise,9.1,Robert Wise,1965
David Yates,9.0,David Yates,2011
Oriol Paulo,8.8,Oriol Paulo,2016
Giuseppe Tornatore,8.9,Unknown,2000
James Cameron,8.8,Unknown,2009
Steven Spielberg,9.1,Unknown,1998
Kung Fu Hustle,8.9,Unknown,2004
Alfonso,9.0,Unknown,2004
Majid Majidi,9.2,Majid Majidi,1997
Forman,9.1,Unknown,1975
Jonathan Demme,8.9,Unknown,1991
Wes Anderson,8.9,Unknown,2014
Eric Bress,8.9,Eric Bress,2004
Martin Scorsese,8.9,Unknown,2010
Christopher Nolan,8.9,Unknown,2006
Gus Van Sant,9.0,Unknown,1997
Tony Kaye,9.0,Unknown,2011
Quentin Tarantino,8.9,Unknown,1994
The Masses,9.3,Unknown,1936
King of Comedy,8.8,Unknown,1999
Happy Together,9.0,Unknown,1997
Chris Columbus,8.9,Chris Columbus,2002
Louie Psihoyos,9.3,Louie Psihoyos,2009
James Mangold,8.9,Unknown,2003
Joon-ho Bong,8.9,Unknown,2003
Sergio Leone,9.1,Unknown,1984
Yi yi,9.1,Unknown,2000
Satoshi Kon,9.0,Unknown,2006
Gore Verbinski,8.8,Unknown,2003
David Fincher,8.8,Unknown,1995
Flirting Scholar,8.7,Lik-Chi Lee,1993
Thomas Vinterberg,9.1,Unknown,2012
Hwan-kyeong Lee,8.9,Unknown,2013
Christopher Nolan,8.9,Unknown,2012
Comrades: Almost a Love Story,8.9,Unknown,1996
Tetsuya Nakashima,8.8,Tetsuya Nakashima,2006
Richard Linklater,8.8,Unknown,1995
Don Hall,8.8,Unknown,2014
M. Night Shyamalan,8.9,Unknown,1999
Joon-ho Bong,8.8,Unknown,2019
Chungking Express,8.8,Unknown,1994
Richard Linklater,8.9,Unknown,2004
Takita,8.9,Y,2008
Hayao Miyazaki,8.9,Hayao Miyazaki,1997
Luca Guadagnino,8.8,Unknown,2017
Tim Burton,8.7,Unknown,1990
BBM,8.8,Unknown,2005
Mel Gibson,8.9,Unknown,1995
no natsu,8.9,Unknown,1999
Hiromasa Yonebayashi,8.9,Unknown,2010
Satoshi Kon,9.1,Unknown,1997
Mike Newell,8.8,Mike Newell,2005
David Fincher,8.7,Unknown,2014
Hirokazu Koreeda,9.1,Hirokazu Koreeda,2004
Richard Curtis,8.8,Richard Curtis,2013
The Teahouse,9.6,Unknown,1982
Siu-Tung Ching,8.8,Unknown,1987
Clint Eastwood,9.1,Unknown,1993
In the Heat of the Sun,8.8,Unknown,1994
Junichi Mori,9.0,Unknown,2014
Jean-Pierre Jeunet,8.7,Unknown,2001
Dean DeBlois,8.8,Unknown,2010
Yoshifumi Kondo,8.9,Unknown,1995
Pete Docter,8.8,Unknown,2015
New World,8.9,Unknown,2013
III,9.0,Unknown,1990
Pete Docter,8.8,Unknown,2001
Pride And Prejudice,8.7,Joe Wright,2005
Hannes Holm,8.9,Unknown,2015
Lee Unkrich,8.9,Unknown,2010
Steven Spielberg,8.8,Unknown,2004
Junichi Mori,9.0,Unknown,2015
Ang Lee,8.7,Unknown,2007
Quentin Tarantino,8.8,Unknown,2012
Sang-ho Yeon,8.6,Unknown,2016
Pierre Coffin,8.7,Unknown,2010
Hotarubi no mori e,8.8,Takahiro Omori,2011
Hail the Judge,8.7,Unknown,1994
Prince Nezha's Triumph Against Dragon King,9.2,Unknown,1979
Tetsuya Nakashima,8.8,Tetsuya Nakashima,2010
The Wedding Banquet,9.0,Unknown,1993
Adam Elliot,9.0,Adam Elliot,2009
Morten Tyldum,8.8,Unknown,2014
Steven Spielberg,8.6,Unknown,2018
In the Mood for Love,8.8,Unknown,2000
Tim Burton,8.8,Unknown,2003
Akira Kurosawa,9.3,Akira Kurosawa,1954
Jeffrey Lau,8.7,Jeffrey Lau,1993
Alfred Hitchcock,9.0,Alfred Hitchcock,1960
Mel Gibson,8.7,Unknown,2016
Jessie Nelson,9.0,Unknown,2001
Hyeong-Cheol Kang,8.8,Unknown,2011
Byeong-woo Kim,8.7,Unknown,2013
Makoto Shinkai,8.5,Unknown,2016
Lana Wachowski,8.8,Unknown,2003
Martin McDonagh,8.7,Unknown,2017
The Coffin in the Mountain,8.8,Unknown,2014
James Wan,8.7,Unknown,2004
Romeo,8.7,Todd Phillips,2019
Jean-Marc,8.8,Unknown,2013
"Back to Back, Face to Face",9.5,Unknown,1994
Pete Docter,8.7,Pete Docter,2020
Kirk De Micco,8.7,Unknown,2013
Paul Greengrass,8.8,Unknown,2007
Frank Darabont,8.9,Unknown,1999
Fernando Meirelles,9.0,Unknown,2002
Richard Linklater,8.9,Unknown,2013
Kamakura Diary,8.8,Hirokazu Koreeda,2015
A Better Tomorrow,8.6,Unknown,1986
Kaze no tani no Naushika,8.9,Hayao Miyazaki,1984
Infernal Affairs II,8.8,,2003
Crazy Stone,8.6,Unknown,2006
Stanley Kubrick,8.9,Unknown,1968
Once a Thief,8.8,Unknown,1991
Stanley Donen,9.1,Unknown,1952
Terry George,8.9,Terry George,2004
Christopher Nolan,8.7,Unknown,2000
Shoplifters,8.7,Hirokazu Koreeda,2018
Rich Moore,8.7,Rich Moore,2012
Echoes Of The Rainbow,8.7,Alex Law,2010
Carlos Saldanha,8.6,Unknown,2002
A Brighter Summer Day,8.9,Unknown,1991
Szifron,8.8,Unknown,2014
忠犬八公物语,9.2,Seijir,1987
Christopher Smith,8.5,Christopher Smith,2009
Tokyo Godfathers,9.0,Unknown,2003
Damien Chazelle,8.6,Unknown,2014
Ridley Scott,9.0,Ridley Scott,1991
Hayao Miyazaki,8.7,Hayao Miyazaki,1989
The Great,8.7,Unknown,2017
Rob Reiner,8.7,Unknown,2007
Danny Boyle,8.6,Unknown,2008
Ashes of Time,8.6,Unknown,1994
Wreaths at the Foot of the Mountain,9.5,Unknown,1984
Masaya Fujimori,8.9,Masaya Fujimori,2010
Duncan Jones,8.5,Unknown,2011
Kekexili: Mountain Patrol,8.9,Unknown,2004
George Miller,8.7,George Miller,2015
City Lights: A Comedy Romance in Pantomime,9.3,Unknown,1931
Kenneth Lonergan,8.6,Unknown,2016
Bryan Singer,8.6,Unknown,2018
Darren Aronofsky,8.6,Unknown,2010
Hibiscus Town,9.3,Unknown,1987
Damien Chazelle,8.4,Unknown,2016
Richard Curtis,8.5,Richard Curtis,2003
Green Snake,8.6,Hark Tsui,1993
Nobuhiro Doi,8.6,Nobuhiro Doi,2021
Puttipong Promsaka Na Sakolnakorn,8.5,Unknown,2010
Barry Levinson,8.7,Unknown,1988
James Cameron,8.8,Unknown,1991
Steven Spielberg,8.7,Unknown,2001
Oury,8.9,G,1966
Quentin Tarantino,8.7,Unknown,2009
David Yates,8.6,David Yates,2010
New Dragon Gate Inn,8.7,Unknown,1992
Nick Cassavetes,8.5,Nick Cassavetes,2004
Ben Stiller,8.6,Unknown,2013
Hayao Miyazaki,8.6,Hayao Miyazaki,2008
Rashomon,8.8,Akira Kurosawa,1950
Andrew Niccol,8.8,Unknown,1997
James Ward Byrkit,8.6,James Ward Byrkit,2013
Pablo Berger,9.0,Pablo Berger,2023
Raise The Red Lantern,8.8,Unknown,1991
Lana Wachowski,8.7,Unknown,2003
David Yates,8.5,David Yates,2007
Isao Takahata,8.7,Isao Takahata,1988
Ridley Scott,8.5,Ridley Scott,2015
Stephen Chbosky,8.6,Unknown,2017
Twenty Two,8.7,Ke Guo,2015
Andrew Niccol,8.7,Unknown,2005
Hirokazu Koreeda,8.8,Hirokazu Koreeda,2008
Millennium Actress,8.8,Unknown,2001
Edward Zwick,8.7,Edward Zwick,2006
Paul Greengrass,8.7,Unknown,2004
Lenny Abrahamson,8.8,Unknown,2015
Mervyn LeRoy,8.8,Unknown,1940
Bob Persichetti,8.6,Bob Persichetti,2018
John Lee Hancock,8.7,Unknown,2009
Doug Liman,8.6,Unknown,2002
Theodore Melfi,8.9,Theodore Melfi,2016
Stephen Daldry,8.6,Unknown,2008
Days of Being Wild,8.5,Unknown,1990
